Textbook,Chapter Number,Maximun Chapter,Chapter Title,Category,Scenario Instances,Library name,Target Audience
Python Machine Learning,1,13,Giving Computers the Ability to Learn from Data,Scenario,Others/Generic,,Machine learning
Python Machine Learning,2,13,Training Machine Learning Algorithms of Classification,Scenario,Data and Processing,,Machine learning
Python Machine Learning,3,13,A Tour of Machine Learning Classifiers Using Scikit-learn,Scenario,Data and Processing,,Machine learning
Python Machine Learning,4,13,Building Good Training Sets - Data Preprocessing,Scenario,Data and Processing,,Machine learning
Python Machine Learning,7,13,Combining Different Models for Ensemble Learning,Scenario,Data and Processing,,Machine learning
Python Machine Learning,8,13,Applying Machine Learning to Sentiment Analysis,Scenario,Data and Processing,,Machine learning
Python Machine Learning,9,13,Embedding a Machine Learning Model into a Web Application,Scenario,Data and Processing,,Machine learning
Python Machine Learning,10,13,Predicting Continuous Target Variables with Regression Analysis,Scenario,Data and Processing,,Machine learning
Python Machine Learning,11,13,Working with Unabeled Data - Clustering Analysis,Scenario,Data and Processing,,Machine learning
Python Machine Learning,12,13,Trainging Artificial Nerual Networks for Image Recognition,Scenario,Data and Processing,,Machine learning
Python Machine Learning,13,13,Parallelizing Neural Network Training with Theano,Scenario,Data and Processing,,Machine learning
Python Parallel Programming Cookbook,6,6,GPU Programming with Python,Scenario,Data and Processing,,Educational purposes
Python Playground,1,14,Parasing Itunes Playlists,Scenario,Others/Generic,,Generic
Python Playground,2,14,Spirographs,Scenario,GUI,,Generic
Python Playground,3,14,Conway's Game of Lift,Scenario,Others/Generic,,Generic
Python Playground,5,14,Boids: Simulating a Flock,Scenario,Others/Generic,,Generic
Python Playground,6,14,ASCII ART,Scenario,GUI,,Generic
Python Playground,7,14,Photomosaics,Scenario,GUI,,Generic
Python Playground,8,14,Autostereograms,Scenario,GUI,,Generic
Python Playground,9,14,Understanding OpenGL,Scenario,API,,Generic
Python Playground,10,14,Particle Systems,Scenario,GUI,,Generic
Python Playground,11,14,Volume Rendering,Scenario,GUI,,Generic
Python Playground,13,14,Laser Audio Display,Scenario,GUI,,Generic
Python Playground,14,14,A Raspberry Pi-Based Weather Monitor,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",15,24,Standard Library Modules,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",16,24,The sys Module,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",17,24,The os System Module,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",18,24,The re Pattern-Matching Module,Scenario,Data and Processing,,Generic
"Python Pocket Reference, 4th Edition",19,24,Object Persistence Modules,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",20,24,The tkinter GUI Module and Tools,Scenario,GUI,,Generic
"Python Pocket Reference, 4th Edition",21,24,Internet Modules and Tools,Scenario,Others/Generic,,Generic
"Python Pocket Reference, 4th Edition",22,24,Other Standard Library Modules,Scenario,GUI,,Generic
"Python Pocket Reference, 4th Edition",23,24,Python Portable SQL Database API,Scenario,API,,Generic
Python Projects for Kids,8,10,Pygame,Scenario,Data and Processing,Pygame,Generic
Python Projects for Kids,9,10,Tiny Tennis,Scenario,Others/Generic,,Generic
Python Scripting for Computational Science,5,12,"Combining Python with Fortran, C, and C++",Scenario,Others/Generic,,Educational purposes
Python Scripting for Computational Science,7,12,Web Interfaces and CGI Programming,Scenario,GUI,,Educational purposes
Python Scripting for Computational Science,9,12,Fortran Programming with NumPy Arrays,Scenario,Data and Processing,,Educational purposes
Python Scripting for Computational Science,10,12,C and C++ Programming with NumPy Arrays,Scenario,Data and Processing,,Educational purposes
Python Scripting for Computational Science,12,12,Tools and Examples,Scenario,Others/Generic,,Educational purposes
Python Unlocked,5,8,Elegance with Design Patterns,Scenario,Others/Generic,,Generic
Python Unlocked,8,8,Scalling Python,Scenario,Others/Generic,,Generic
Python Web Development with Django,1,12,Practical Python for Django,Scenario,Data and Processing,,Web development
Python Web Development with Django,2,12,Django for the Impatient: Building a Blog,Scenario,API,,Web development
Python Web Development with Django,5,12,"URLs, HTTP Mechanisms, and Views URLs",Scenario,API,,Web development
Python Web Development with Django,6,12,Templates and Form Processing Templates,Scenario,Data and Processing,,Web development
Python Web Development with Django,7,12,Photo Gallery,Scenario,GUI,,Web development
Python Web Development with Django,8,12,Content Management System,Scenario,Data and Processing,,Web development
Python Web Development with Django,9,12,Liveblog,Scenario,Others/Generic,,Web development
Python Web Development with Django,10,12,Pastebin,Scenario,Others/Generic,,Web development
Python Web Development with Django,11,12,Advanced Django Programming,Scenario,Others/Generic,,Web development
Python XML,1,10,Python and XML,Scenario,API,,Web development
Python XML,2,10,XML Fundamentals,Scenario,Others/Generic,,Web development
Python XML,3,10,The Simple API for XML,Scenario,API,,Web development
Python XML,5,10,Querying XML with Xpath,Scenario,Data and Processing,,Web development
Python XML,6,10,Transforming XML with XSLT,Scenario,Data and Processing,,Web development
Python XML,7,10,XML Validation and Dialects,Scenario,Data and Processing,,Web development
Python XML,8,10,Python Internet APIs,Scenario,API,,Web development
Python XML,9,10,"Python, Web Services, and SOAP",Scenario,Data and Processing,,Web development
Raspberry Pi Cookbook for Python Programmers,3,11,Using Python for Automation and Productivity,Scenario,Data and Processing,,Others
Raspberry Pi Cookbook for Python Programmers,4,11,Creating Games and Graphics,Scenario,GUI,,Others
Raspberry Pi Cookbook for Python Programmers,5,11,Creating 3D Graphics,Scenario,GUI,,Others
Raspberry Pi Cookbook for Python Programmers,6,11,Using Python to Drive Hardware,Scenario,Data and Processing,,Others
Raspberry Pi Cookbook for Python Programmers,7,11,Sense and Display Real-world Data,Scenario,GUI,,Others
Raspberry Pi Cookbook for Python Programmers,8,11,Work on Projects with the Raspberry Pi Camera Module,Scenario,Others/Generic,,Others
Raspberry Pi Cookbook for Python Programmers,9,11,Building Robots,Scenario,Data and Processing,,Others
Raspberry Pi Cookbook for Python Programmers,10,11,Interfacing with Technology,Scenario,GUI,,Others
SciPy and NumPy,2,5,NumPy,Scenario,Others/Generic,,Educational purposes
SciPy and NumPy,3,5,SciPy,Scenario,Others/Generic,,Educational purposes
SciPy and NumPy,4,5,SciKit: Taking SciPy One Step Further,Scenario,Others/Generic,,Educational purposes
Spark for Python Developers,1,6,Setting Up a Spark Virtual Environment,Scenario,Others/Generic,,Data analysis
Spark for Python Developers,2,6,Building Batch and Streaming Apps with Spark,Scenario,Others/Generic,,Data analysis
Spark for Python Developers,3,6,Juggling Data with Spark,Scenario,Data and Processing,,Data analysis
Spark for Python Developers,5,6,Steaming Live Data with Spark,Scenario,Data and Processing,,Data analysis
Spark for Python Developers,6,6,Visualizing Insights and Trends,Scenario,GUI,,Data analysis
Test-Driven Development with Python,1,22,Getting Django Set Up Using a Function Test,Scenario,Others/Generic,,Software testing
Test-Driven Development with Python,6,22,Getting to the Minimun Viable Site,Scenario,API,,Software testing
Test-Driven Development with Python,7,22,"Prettification: Layout and Styling, and What to Test About It",Scenario,GUI,,Software testing
Test-Driven Development with Python,9,22,Automating Deployment with Fabric,Scenario,API,,Software testing
Test-Driven Development with Python,12,22,More Advanced Forms,Scenario,GUI,,Software testing
Test-Driven Development with Python,13,22,"Dipping Out Toes, Very Tentativaly, into Javascript",Scenario,Others/Generic,,Software testing
Test-Driven Development with Python,15,22,"User Authentication, Integrating Third-Party Plugins, and Mocking with Javascript",Scenario,API,,Software testing
Test-Driven Development with Python,16,22,Server-Side Authentication and Mocking in Python,Scenario,API,,Software testing
Test-Driven Development with Python,20,22,Continuous Integration (CI),Scenario,Data and Processing,,Software testing
Test-Driven Development with Python,21,22,"The Token Social Bit, the Page Pattern, and an Exercise for the Reader",Scenario,Others/Generic,,Software testing
"Think Python, 2nd Edition",4,21,Case Study: Interface Design,Scenario,Others/Generic,,Generic
"Think Python, 2nd Edition",7,21,Iteration,Scenario,Data and Processing,,Generic
"Think Python, 2nd Edition",9,21,Case Study: Word Play,Scenario,Others/Generic,,Generic
"Think Python, 2nd Edition",14,21,Files,Scenario,Others/Generic,,Generic
"Think Python, 2nd Edition",21,21,Analysis of Algorithms,Scenario,Data and Processing,,Generic
"Web Development with Django Cookbook, 2nd Edition",2,11,Database Structure,Scenario,Data and Processing,,Web development
"Web Development with Django Cookbook, 2nd Edition",5,11,Custom Templates Filter and Tags,Scenario,Data and Processing,,Web development
"Web Development with Django Cookbook, 2nd Edition",6,11,Model Administration,Scenario,Others/Generic,,Web development
"Web Development with Django Cookbook, 2nd Edition",7,11,Django CMS,Scenario,Data and Processing,,Web development
Web Scraping with Python,2,9,Scraping the Data,Scenario,API,,Web development
Web Scraping with Python,3,9,Caching Downloads,Scenario,Others/Generic,,Web development
Web Scraping with Python,4,9,Concurrent Downloading,Scenario,Others/Generic,,Web development
Web Scraping with Python,5,9,Dynamic Content,Scenario,Others/Generic,,Web development
Web Scraping with Python,7,9,Solving CAPTCHA,Scenario,Others/Generic,,Web development
Web Scraping with Python,8,9,Scrapy,Scenario,API,,Web development
